tractkids,pop2010,percent_of_kids,povertyrate,,,,,POP2010,"Population, tract total"
NULL,2456,NULL,6.5,,,,,,
NULL,5813,NULL,11.3,,,,,,
NULL,2309,NULL,14.9,,,,,,
NULL,3321,NULL,6.5,,,,,,
NULL,3459,NULL,40,,,,,,
NULL,3582,NULL,30.8,,,,,,
NULL,3646,NULL,13.9,,,,,,
NULL,2546,NULL,15.1,,,,,,
NULL,5697,NULL,11.1,,,,,,
NULL,3471,NULL,24.9,,,,,,
NULL,3006,NULL,10.8,,,,,,
NULL,2787,NULL,18,,,,,,
NULL,3433,NULL,15.2,,,,,,
NULL,2855,NULL,11.3,,,,,,
NULL,2498,NULL,30.2,,,,,,
NULL,4152,NULL,5.7,,,,,,
NULL,6652,NULL,16.6,,,,,,
NULL,3028,NULL,6.8,,,,,,
NULL,3578,NULL,9.2,,,,,,
NULL,4273,NULL,9.9,,,,,,
NULL,2880,NULL,10.5,,,,,,
NULL,3964,NULL,6.3,,,,,,
NULL,1926,NULL,5.9,,,,,,
NULL,1763,NULL,7.7,,,,,,
NULL,2328,NULL,20.9,,,,,,
NULL,6454,NULL,10.7,,,,,,
NULL,3391,NULL,6.7,,,,,,
NULL,3611,NULL,4.2,,,,,,
NULL,2147,NULL,4.2,,,,,,
NULL,6514,NULL,7.2,,,,,,
NULL,6484,NULL,7.3,,,,,,
NULL,4833,NULL,11.9,,,,,,
NULL,3322,NULL,5.6,,,,,,
NULL,2410,NULL,23.4,,,,,,
NULL,1615,NULL,21.7,,,,,,
NULL,4991,NULL,32.6,,,,,,
NULL,2493,NULL,16.8,,,,,,
NULL,3655,NULL,35.7,,,,,,
NULL,2136,NULL,27.6,,,,,,
NULL,1439,NULL,49.2,,,,,,
NULL,2130,NULL,31.8,,,,,,
NULL,2165,NULL,25.1,,,,,,
NULL,3030,NULL,39.6,,,,,,
NULL,2610,NULL,39.9,,,,,,
NULL,2429,NULL,26.9,,,,,,
NULL,2328,NULL,12,,,,,,
NULL,3036,NULL,3.6,,,,,,
NULL,4970,NULL,5.9,,,,,,
NULL,3239,NULL,24.4,,,,,,
NULL,2855,NULL,29.2,,,,,,
NULL,1085,NULL,40.6,,,,,,
NULL,1828,NULL,26.9,,,,,,
NULL,2397,NULL,21,,,,,,
NULL,3469,NULL,12.3,,,,,,
NULL,4295,NULL,12.5,,,,,,
NULL,4332,NULL,8.7,,,,,,
NULL,8111,NULL,4.9,,,,,,
NULL,5866,NULL,2,,,,,,
NULL,5030,NULL,3.1,,,,,,
